17a-dihydroequilin	17a-dihydroéquiline
19-norprogesterone	19-norprogestérone
a 12 or above inclusive	score MMSE égal ou supérieur à 12
a 5-alpha reductase inhibitor for benign prostatic hyperplasia	inhibiteur de la 5-alpha réductase dans le traitement de l'hyperplasie bénigne de la prostate
abarticular gout	goutte abarticulaire
abdomen	abdomen
abdominal	abdominal
abdominal aortic aneurysm	anévrisme de l'aorte abdominale
abdominal ascitic extravasation	épanchement ascitique abdominale
abdominal cavity	cavité abdominale
abdominal pain	douleur abdominale
abdomino-pelvic cavity	cavité abdomino-pelvienne
abduction	abduction
abnormalities	anomalies
abnormal pap smear	frottis anormal
about Formulary and stocks	ici traduction d'une phrase concernant les formulaires hospitaliers pouvant être utile aux autres traducteurs.
above conventional clinical measures	augmentation des valeurs supérieure à la moyenne des constantes cliniques
abrupt closure	fermeture brutale
Abscess	Abcès
abscess	abcès
Abscissa	Abscisse
Absolute risk	Risque absolu
absorption	absorption
abstractor	enquêteur
abuse	abus
Acarid	Acarien
Acceptable risk	Risque acceptable
access	abord vasculaire
accessory	accessoire
access point	abord
Accrual	Recrutement
accumulates	Voir ci-dessous
Accupril	Accupril
Accuracy	Justesse Exactitude
ACE Inhibitors	angiotensin converting enzyme inhibitor
acetabular	acétabulaire
acetabular	cotyloïdien
acetabulum	acetabulum
acetate	acétate
achondroplasia	achondroplasie
Achromia	Achromie
Acibenzolar-S-methyl	acibenzolar-S-méthyle
acidifying	acidifiante
acid reflux	reflux acide
Acne	Acné
Acne rosacea	Acné rosacée
acne rosacea	couperose
Acne solaris	Acné solaire
aconitine	aconitine
Acquaintance network	Réseau de personnes de connaissance
acquired	acquise
acquired cystic kidney	kystes rénaux acquis
Acquired Immune Deficiency Syndrome related Services	Services connexes au Syndrome d'immunodéficience acquise
Acquired Immune Deficiency Syndrome	Syndrome d'immunodéficience acquise
acquired obstructive uropathy	uropathie obstructive acquise
Acrochordon	Acrochordon
Acrocyanosis	Acrocyanose
Acrokeratosis verruciformis	Acrokératose verruciforme
acromial bursa	bourse sus-acromiale
acromion	acromion
Actinic keratosis	Kératose actinique
action response	intervention
activated charcoal	charbon activé
Activated coagulation time	ACT
active implantable medical devices	dispositifs médicaux implantables actifs
Active vasculitis	Vasculite active
activities of daily living	activités de la vie quotidienne
activity	activité
actual blood flow rate	débit sanguin réel
Actuarial method	Méthode actuarielle
Actuarial rate	Taux actuariel
Actuarial table	Table actuarielle
Acute abcess	Abcès chaud
Acute	aiguë
acute	aigu
Acute Care Evidence Based Practice Committee	pratique factuelle
Acute gastro enteritis symptoms	Tableau de GEA
acute haemodialysis	hémodialyse aiguë
acute interstitial nephritis	néphrite interstitielle aiguë
Acute Kidney Injury	Insuffisance rénale aiguë
Acute Pulmonary Edema	APE
acute stage of full coma	grands comas en phase aiguë
Adaptation	Adaptation
additional doses	doses supplémentaires
Additive model	Modèle additif
adduction	adduction
Adenofibroma	Adénofibrome
Adenomyoma	Adénomyome
adhesions	adhérences
Adipose breast tissue	Tissu adipeux mammaire
adjacent fat	graisse de voisinage
Adjustment	Ajustement
administration	administration
administrative tasks	tâches administratives
administrator	administrateur
adrenal glands	surrénales
adrenal gland	surrenal glande
Adriamycin	Adriamycine
advice	conseil
aerated parenchyma	parenchyme aéré
Aerobe	Aérobie
Aerobiosis	Aérobiose
AeroChamber™ Plus	chambre de retenue valvée AeroChamber™ Plus
Aesthetic	Esthétique
aetiology	éthiology
affect	agir sur
Affected areas	Endroits affectés
afferent	afférent
affinity	affinité
A first-line treatment	de première intention
a follow-up care	un suivi médical
Age	Age
Age at death	Age au décès
agenesis	agénésie
Age-period cohort analysis	Analyse de cohorte par âge et période
Age-sex pyramid	Pyramide par âge et sexe Pyramide d'âge par sexe
Age-sex register	Registre par âge et sexe
Age-specific fertility rate	Taux de fécondité par âge
Age-specific rate	Taux par âge
Age spot	Tache de vieillesse
Age standardization	Standardisation pour l'âge
aggregate	agrégat
Aggregation bias	Vieillissement de la population
agonist	agoniste
agranulocyte	agranulocyte
Agreement	Infection transmise par voie aérienne
AIDS nephropathy	néphropathie du SIDA
Ail	Souffrir
Airborne infection	Consommation d'alcool
air embolism	embolie gazeuse
air filling	Réplétion aérique
air hunger	dyspnée de Kussmaul
air waves	Voies aériennes
airway obstruction	encombrement des voies respiratoires
airway obstruction	obstruction bronchique objectivée
Alanine aminotransferase	ALT
Albinism	Albinisme
Albino	Albinos
albumin	albumine
albuminuria	albuminurie
alcohol abuse	abus dalcool
alcohol	alcool
Alcohol consumption	Algorithme
alcoholism	alcoolisme
alcohol or drug abuse	consommation d'alcool ou de drogue
Algorithm	Algorithme clinique
Alkaline phosphatase	AP
alkaline phosphatase	phosphatase alcaline
alkaloid	alcaloïde
alkoxide	alcoolate
allantoin	allantoïne
Allele	Erreur de première espèce
Allergia	Allergie
allergic	allergique
Allergic reaction	Réaction allergique
allergic response	réaction allergique
Allergic response	Réponse allergique
allergology	allergologie
Allergy	Allergie
allergy	allergie
alleviate	atténuer
alleviation	atténuation
all heath insurance plans	toutes caisses médicales
allicin	allicine
allopathy	allopathie
allyl disulfide	disulfures d'allyles
aloe	aloès
alopecia	alopécie
