aplasia	aplasie
stress test	preuve d'effort
target	cible
increase	augmentation
expression	expression
Health	Santé
ear	oreille
Diagnosis	Diagnostic
accessory	accessoire
fibre	fibre
abnormalities	anomalies
artery	artère
heredity	hérédité
autoimmune	autoimmune
fibroblast	fibroblaste
antioxidant	antioxydantes
aorta	aorte
clinical history	antécédents cliniques
hemangioma	hémangiome
diet	alimentation
bottle feeding	alimentation au biberon
diameter	diamètre
device	appareil
affinity	affinité
balloon	ballonnet
patellofemoral	fémoro-patellaire
experience	expérience
enzyme	enzyme
convulsions	convulsions
supply	apport
Locus	Locus
ankle	cheville
oral contraceptives	contraceptifs oraux
Metastatic melanoma	Mélanome métastatique
criteria	critères
discharge	écoulement
frostbite	gelures
fluorescein	fluorescéine
binding	liaison
Abscess	Abcès
biceps muscle	biceps
splint	attelle
sudden cardiac death	mort subite
Ecology	Ecologie
Sterile	Stérile
Psoriasis	Psoriasis
arsenic	arsenic
arthroplasty	arthroplastie
headache	céphalée
brain	cerveau
latissimus dorsi muscle	grand dorsal
cisplatin	cisplatine
activity	activité
bronchitis	bronchites
calculus	calcul
over and above	en plus de
albumin	albumine
chondroblast	chondroblaste
mating	accouplement
canaliculus	canalicule
excretion	excrétion
dissection	dissection
Detection	Détection
abduction	abduction
ring	anneau
antigen	antigène
pancreatitis	pancreatite
adhesions	adhérences
anaesthesia	anesthésie
Descriptive study	Etude descriptive
home care	soins à domicile
ventricular fibrillation	fibrillation ventriculaire
efferent	efférent
angiographic	angiographique
pulse	pouls
right atrium	oreillette droite
androgen	androgène
essential fatty acid	acides gras essentiels
fibroids	fibromes
ascorbic acid	acide ascorbique
warts	verrue
humerus	humérus
yawning	baillement
guideline	directives
Antigenicity	Antigénicité
doctor	docteur
improvement	amélioration
thrombosis	thrombose
abdomen	abdomen
Relationship	Relation
girdle	ceinture
Whitlow	Panaris
dialysis	dialyse
involved	impliqué
nipple	mamelon
hematemesis	hématémèse
greater omentum	grand épiploon
Trend	Tendance
antiarrhythmic	antiarythmique
hospital	hôpital
Factor analysis	Analyse factorielle
lump	bosse
Strategy	Stratégie
contraindication	contre-indication
claviculectomy	claviculectomie
Acne rosacea	Acné rosacée
dystrophy	dystrophie
radiotherapy	radiotherapie
cerebral palsy	paralysie cérébrale
illness	maladie
antibody	anticorps
availability	disponibilité
external	externe
Symptomatic treatment	Traitement symptomatique
meals	repas
hair	cheveu
aponeurosis	aponévrose
ciproflox	ciproflox
epilepsy	epilepsie
hypertonic	hypertonique
hepatic	hépatique
Audit	Audit
urinary infection	infection urinaire
blepharitis	blépharite
breast feeding	allaitement
isolation	Isolement
bacteriology	bactériologie
aconitine	aconitine
Acne	Acné
coordination	coordination
spread	extension
consultant	consultant
plex	Plex
balm	baume
