Erythema	Erythème
groin	aine
cardiac index	index cardiaque
tantrums	caprices
cranberry	canneberge
Actinic keratosis	Kératose actinique
predisposing factor	facteur prédisposant
Impetigo	Impétigo
keloid	chéloïde
pediculate	pédiculé
additional doses	doses supplémentaires
femoral hernia	hernie fémorale
host	hôte
arteriovenous	artério-veineux
dialyzer	dialyseur
chondrotomy	chondrotomie
cerebral palsy	infirmité motrice cérébrale
convulsion	convulsion
Relationship	Relation
heart rate	rythme cardiaque
Erythropoietin	érythropoïétine
hyperostosis	hyperostose
cicatrizant	cicatrisante
Clinical epidemiology	Epidémiologie clinique
kidney stones	calculs rénaux
gastritis	gastrite
Methylphenidate	Méthylphénidate
Reliability	Fiabilité
medical illness	affection
abdomen	abdomen
anephric	anéphrique
ganglionectomy	gangliectomie
hemarthrosis	hémarthrose
Determinant	Déterminant
codeine	codéine
bronchoscopy	bronchoscopie
bradycardia	bradycardies
fibroscopy	fibroscopie
sequence	séquence
heart disease	maladie cardiaque
Coverage	Couverture
analyse	analyse
side effect	effet secondaire
lung disease	maladie pulmonaire
anticonvulsant	anticonvulsivant
chondrosarcoma	chondrosarcome
blood transfusion	transfusion sanguine
Therapeutic trial	Essai thérapeutique
Bacteria	Bactéries
cystic fibrosis	mucoviscidose
palpebral	palpébral
antiviral	antivirale
arachnoiditis	arachnoïdite
pain	douleur
CB	PC
heat	chaleur
powdered milk	lait en poudre
Encephalopathy	Encéphalopathie
death	mort
anti-inflammatory	anti-inflammatoire
diabetes	diabète
breast feeding	allaitement maternel
antagonist	antagoniste
response curve	courbe de réponse
hemostasis	hémostase
fit	attaque
Audit	Audit
arthritis	arthritiques
damaged	endommagé
fever	fièvre
nipple	mamelon
Effectiveness	Efficacité
Surveillance	Surveillance
Staphylococcus	Staphylocoque
Medical audit	Audit médical
arteriovenous fistula	fistule artério-veineuse
bottle	biberon
elbow	coude
blood clots	caillots sanguins
bound	fixé
hemopoietic	hématopoïétique
ulcerative colitis	colite ulcéreuse
epilepsy	epilepsie
recurrent	récidivant
tonsillitis	angine
Symptomatic treatment	Traitement symptomatique
femoral hernia	hernie crurale
antidepressant	antidépresseur
Acne rosacea	Acné rosacée
abdominal	abdominal
disorders	anomalies
overt	franc
hemochromatosis	hemochromatose
size	format
pad	compresse
influenza	rhume
aspartate aminotransferase	AST
Contamination	Contamination
system	appareil
ketone bodies	corps cétoniques
brain tumour	tumeur cérébrale
cardiopulmonary	cardiopulmonaire
device	dispositif
diameter	diamètre
benzodiazepines	benzodiazépines
palate	palais
eczema	eczéma
bronchitis	bronchites
alleviate	atténuer
Hyperparathyroidism	Hyperparathyroïdisme
conventional treatment	traitement conventionnel
Coherence	Cohérence
contact dermatitis	dermatite de contact
increase	augmentation
Etiology	Etiologie
infectious diseases	maladies infectieuses
profiling	profilage
Interleukin	Interleukin
appendectomy	appendicectomie
conformity	conformité
antiallergen	antiallergique
lactate dehydrogenase	LD
pattern	disposition
dehydrated	déshydraté
digoxin	digoxine
commitment	engagement
helmet	casque
Misoprostol	Misoprostol
Malignant melanoma	Mélanome malin
cardiac arrhythmias	arythmies cardiaques
Parameter	Paramètre
function	fonction
Melanoma	Mélanome
bloody diarrhoea	diarrhée sanglante
bleeding	hémorragie
experienced	expérimenté
bacillus	bacille
conductor	chef d'orchestre
abduction	abduction
Normal distribution	Distribution normale
boil	clou
Variable	Variable
muscle cell	cellule musculaire
hypervolemia	hypervolémie
corticosteroid	corticostéroïde
Gene	Gène
angina	angor
melanoma	mélanome
benefit	bénéfice
buprenorphine	buprénorphine
fibrosis	fibrose
Systemic lupus erythematosus	Lupus érythémateux disséminé
diagnosis	diagnostic
Hygiene	Hygiène
nucleic acid	acide nucléique
cyanocobalamin	cyanocobalamine
cardiomyopathy	cardiomyopathie
gerontology	gérontologie
antimicrobial	antimicrobien
formulary	formulaire
coronary angiography	coronarographique
Confidentiality	Confidentialité
hematology	hématologie
diagnostic	diagnostique
anaphylactic	anaphylactique
dendrite	dendrite
angiocardiography	angiocardiographie
