stone	lithiase
side effect	effet secondaire
spasm	spasme
Health promotion	Promotion de la santé
Regression line	Droite de régression
feedback	autorégulation
Symbiosis	Symbiose
diet	alimentation
Incidence rate	Taux d'incidence
protective effect	effet protecteur
Determinant	Déterminant
Dengue fever	Dengue
calcaneus	calcaneum
target cell	cellule cible
site	foyer
Impetigo	Impétigo
upper limbs	membres supérieurs
coagulant	coagulant
corticosteroids	corticostéroïdes
osteogenic fibroma	fibrome ostéogénique
granulocyte	granulocyte
spitting	crachat
genu valgum	genu valgum
gestodene	gestodène
re-excision	reprise
hyaluronic acid	acide hyaluronique
Program	Programme
food allergy	allergie alimentaire
Contact dermatitis	Dermatite de contact
muscle cell	cellule musculaire
Mifepristone	Mifepristone
Angioma	Angiome
confidentiality	confidentialité
rod	Tige
hypotensive	hypotendu
CPT-11	CPT-11
booster dose	dose de rappel
Cyanosis	Cyanose
vicryl	vicryl
arthroscopy	arthroscopie
Premunition	Prémunition
dry skin	peau sèche
Utility	Utilité
femur	fémur
supplies	approvisionnement
muscular pain	douleurs musculaires
SCLC	CPPC
circulation	circulation
Corticosteroid	Corticostéroïde
Inoculation	Inoculation
hemopericardium	hémopéricarde
cerebral palsy	paralysie cérébrale
patellofemoral	fémoro-patellaire
deformitie	déformation
anuria	anurie
blood transfusion	transfusion sanguine
autopsy	autopsie
life-threatening	engageant le pronostic vital
Vascular	Vasculaire
folate	folates
damaged	endommagé
fasting	jeune
access	abord vasculaire
Diagnosis	Diagnostic
lung disease	maladie pulmonaire
Age	Age
recurrent	récidivant
tumour	tumeur
pregnant	enceinte
catabolism	catabolisme
coma	coma
obesity	obésité
aggregate	agrégat
Folic acid	Acide folique
digitoxin	digitoxine
doctor	docteur
rewards	récompenses
calcification	calcification
Hibernation	Hibernation
Yellow fever	fièvre jaune
carpectomy	carpectomie
framework	armature
fusion	fusion
myocardial ischemia	MI
administrative tasks	tâches administratives
bladder distension	globe vésical
Public Health	Santé publique
cable	câble
waste	déchets
Detection	Détection
failure	échec
cephalosporin	céphalosporine
user friendly	convivial
Peritoneum	Péritoine
cannula	canule
CB	PC
develop	faire
proximal	en amont de
Avulsion	Avulsion
bedpan	bassin
area	aire
Retrograde cystography	Cystographie rétrograde
dermatitis	dermite
inflation	gonflement
bromocriptine	bromocriptine
accessory	accessoire
Arbovirus	Arbovirus
Genome	Génome
creatinine	créatinine
capillary	capillaire
Adaptation	Adaptation
anticonvulsant	anticonvulsivant
implantable defibrillator	défibrillateur implantable
gonorrhoea	blennorragie
ambulatory	ambulatoire
Erythropoietin	érythropoïétine
Dispersion	Dispersion
abuse	abus
Acute	aiguë
Audit	Audit
arthritis	arthritiques
surgical	chirugicale
serious	grave
captopril	captopril
carpal tunnel syndrome	Syndrome du canal carpien
Relationship	Relation
leads	sondes
on average	en moyenne
throughput	débit
exploratory	exploratrice
sweat gland	glande sudoripare
fasciotomy	aponévrotomie
lactate dehydrogenase	LDH
liver	foie
Family	Famille
low anterior resection	résection antérieure basse
autoclave	autoclave
lactic bacteria	bactéries lactiques
association	association
level	niveau
abscess	abcès
dermatome	dermatome
QRS complex	complexe QRS
Steroid	Stéroïde
assessment	évaluation
sinus rhythm	rythme sinusal
alleviate	atténuer
Cell regeneration	Régénération cellulaire
node	ganglion
availability	disponibilité
wall	cloison
ganglion cell	cellule ganglionnaire
rickets	rachitisme
Proteinuria	Protéinurie
