knee joint	articulation du genou
liver disease	maladie de foie
exercise	exercice
incus	enclume
nightmares	cauchemars
Medical audit	Audit médical
acquired	acquise
ribs	côtes
Hyperphosphatemia	Hyperphosphatémie
B12	B12
osteoarthritis	ostéoarthrite
distress	détresse
Clinical epidemiology	Epidémiologie clinique
focal	focal
clinical history	antécédents cliniques
carboplatin	carboplatine
Quantitative data	Données quantitatives
Cleansing	Nettoyage
Medical care	Soins médicaux
nervous system	système nerveux
dermatology	dermatologie
chlorophyll	chlorophylle
discission	discision
polythelia	polythélie
cystic fibrosis	mucoviscidose
fibroid	fibrome
dry skin	peau sèche
food poisoning	intoxication alimentaire
Quality control	Contrôle de la qualité
intrauterine device	stérilet
Regression line	Droite de régression
cardiopulmonary	cardiopulmonaire
cleansing	détersion
chromosomal	chromosomique
expression	expression
fainting	évanouissement
inflate	gonfler
Impetigo	Impétigo
antagonist	antagoniste
axilla	aisselle
garlic	ail
patient	patient
sunburn	coup de soleil
muscle disorders	troubles musculaires
epithelial cell	cellule épithéliale
bursa	bourse
evening primrose oil	huile d'onagre
enzymes	enzymes
ankylosis	ankylose
develop	faire
antiradical	antiradicalaire
heat	chaleur
discectomy	discectomie
conduction	conduction
calcaneus	calcaneum
Expressivity	Expressivité
constipation	constipation
allergic	allergique
haemolytic anaemia	anémie hémolytique
cefaclor	céfaclor
History	History
palmitic acid	acide palmitique
circulating nurse	panseuse
dendrite	dendrite
cuticle	cuticule
genu valgum	genu valgum
ischemic stroke	accident ischémique cérébral
flat feet	pieds plats
bone graft	greffe osseuse
toddlerhood	petite enfance
leads	sondes
Environment	Environnement
pain	douleur
Experimental study	Etude expérimentale
barotrauma	barotraumatisme
excreted	excrété
Biometry	Biométrie
chest	poitrine
mating	accouplement
chemotherapy	chimiothérapie
leukaemia	leucémie
Health statistics	Statistiques sanitaires
glucuronide	glucuronide
hydrothorax	hydrothorax
procedure	déroulement
gland	glande
removal	exérèse
normal pressure hydrocephalus	hydrocéphalie à pression normale
disc	disque
Renal failure	Insuffisance rénale
heart	cœur
furuncle	furoncle
hip joint	articulation de la hanche
breast	sein
exogenous	exogène
alcohol	alcool
established	confirmé
Artificial intelligence	Intelligence artificielle
Discriminant analysis	Analyse discriminante
arteriovenous	artério-veineux
corpse	cadavre
broncoscopy	bronchoscopie
hemostasis	hémostase
colitis	colite
vascular prosthesis	prothèse vasculaire
Therapeutic trial	Essai thérapeutique
systemic	général
medicine	médicaments
balm	baume
wishes	volontés
coagulant	coagulant
ileitis	iléite
some people	certaines personnes
anterior chamber	chambre anterieur
ACR	ACR
anabolism	anabolisme
deafness	surdité
kidney	le rein
nitrates	dérivés nitrés
to promote	favoriser
disc disease	discopathie
Adriamycin	Adriamycine
biocompatibility	biocompatibilité
anxiolytic	anxiolytique
gastritis	gastrite
Dermatology	Dermatologie
seizures	crise d'épilepsie
gonorrhoea	blennorragie
hematological	hématologique
gum	gencive
seborrheic alopecia	alopécie séborrhéique
sequence	séquence
Demography	Démographie
dura	dure-mère
pad	compresse
Disposable	à usage unique
moderate	modéré
osteoporosis	ostéoporose
Mode	Mode
carbuncle	anthrax
feedback	autorégulation
Body mass index	BMI
Sterilisation	Stérilisation
LAD	IVA
detection	détection
advice	conseil
off-label	hors indication
cyclooxygenase	cyclo-oxygénase
vascular puncture	ponction
strength	force
atopic dermatitis	dermatite atopique
exploratory	exploratrice
