sent_ID	fr_term	counts	matches_strict	matches_caseless	matches_loose
0	auriculaires	1	1	1	1
0	chéloïdes	1	1	1	1
0	traitement	1	1	1	1
1	récurrence	1	0	0	0
3	méta-analyse	1	1	1	1
3	données	1	1	1	1
3	auriculaires	1	1	1	1
3	chéloïdes	1	1	1	1
5	exclusion	1	1	1	1
6	chéloïdes	1	1	1	1
6	modalité	1	1	1	1
6	récurrence	1	0	0	0
7	traitement	1	1	1	1
7	méta-analyse	1	1	1	1
7	récurrence	1	0	0	0
7	taux	1	1	1	1
7	modalité	1	1	1	1
10	récurrence	1	0	0	0
10	taux	1	1	1	1
10	excision	4	4	4	4
10	adjuvante	3	2	2	2
10	curiethérapie	1	1	1	1
10	radiothérapie	1	0	0	0
10	compression	1	1	1	1
10	externe	1	1	1	1
10	adjuvantes	1	0	0	0
10	stéroïdes	1	1	1	1
10	injections	1	1	1	1
11	significative	1	1	1	1
11	différence	1	1	1	1
12	traitement	1	1	1	1
12	auriculaires	1	1	1	1
12	chéloïdes	1	1	1	1
12	hétérogènes	1	1	1	1
12	études	1	1	1	1
13	excision	1	1	1	1
13	adjuvante	1	1	1	1
13	curiethérapie	1	1	1	1
13	récurrence	1	0	0	0
13	taux	1	1	1	1
13	analyse	1	1	1	1
14	curiethérapie	1	1	1	1
14	thérapie	1	0	0	0
14	compression	1	1	1	1
14	modalités	1	1	1	1
14	patients	1	1	1	1
17	MéTHODOLOGIE:	1	0	0	0
18	participants	1	1	1	1
20	participants	1	1	1	1
22	RéSULTATS:	1	0	0	0
25	groupes	1	0	0	0
27	alcoolisées	2	2	2	2
27	boissons	1	1	1	1
30	infections	1	1	1	1
31	dermatologie	1	1	1	1
31	examen	1	1	1	1
31	réservoir	1	1	1	1
31	staphylococcique	1	0	0	0
31	pyodermite	1	0	0	0
33	salle	1	1	1	1
33	surface	1	0	0	0
33	décontamination	1	1	1	1
33	quaternaire	1	1	1	1
33	ammonium	1	1	1	1
33	composé	1	1	1	1
33	différents	1	1	1	1
33	nettoyage	1	1	1	1
