sent_ID	concept	count
0	après	1
0	antérieur	1
1	Probabilité	1
2	Consensus	1
3	Revue systématique	1
3	Méta-analyse	1
3	Analyse de données	1
4	Medline	1
4	Vedettes-matière	1
5	admissibilité	1
6	nombre	1
6	le temps	1
6	Post-cure	1
7	inclus	1
7	Directives	1
7	centre	1
7	Méta-analyse	1
7	Récidive	1
7	Intervalles de confiance	1
8	au total	1
8	inclus	1
9	onze	1
10	Récidive	1
10	excision	4
10	Curiethérapie	1
10	thérapie	1
10	compression	1
10	radiothérapie	1
10	externe	1
10	Injection	1
10	stéroïdes	1
11	aucune	1
13	excision	1
13	Curiethérapie	1
13	Récidive	1
13	plus	1
13	faible	1
14	Intervalles de confiance	1
14	Curiethérapie	1
14	thérapie	1
14	compression	1
14	Chirurgiens	1
14	plus	1
14	Confiance	1
14	Patients	1
15	Infarctus du myocarde	1
16	Objectifs	1
17	Rendement	1
17	Boissons alcooliques	1
17	Restaurants	1
17	connaissance	1
17	Boissons	1
18	Étudiants	1
18	supérieur	1
18	alcool	1
18	Ontario	1
18	Canada	1
20	entre	1
20	Groupes de population	1
20	aucune	1
21	V03AB29 - cholinestérase	1
21	Poids et mesures	1
21	connaissance	1
21	Boissons	1
22	Modèles logistiques	1
22	linéaire	1
22	Organisation et administration	1
22	quatre	1
23	Probabilité	1
23	plus	1
25	Probabilité	1
25	plus	1
25	faible	1
25	Boissons	1
26	aucune	1
26	entre	1
26	Boissons	2
26	nombre	1
27	exposition à	1
27	contenant	1
27	augmenté	1
27	Boissons alcooliques	1
30	Infections à staphylocoques	1
31	Dermatologie	1
31	pyodermite	1
31	staphylococcique	1
32	Objectifs	1
33	Rendement	1
33	Décontamination	1
33	surface	1
33	composé	1
33	Composés d'ammonium	1
33	après	1
33	Enseignement	1
34	deuxièmement	1
34	nombre	1
34	Staphylococcus	1
34	Coagulase	1
34	après	2
34	Chiens	1
34	pyodermite	1
34	Désinfection	1
36	Colorants fluorescents	1
36	Rendement	1
36	surface	1
36	entre	1
38	dix	1
38	après	2
38	Chien	1
38	pyodermite	1
38	staphylococcique	1
38	immédiatement	1
38	Désinfection	1
40	au total	1
41	nombre	1
41	plus	1
41	élevé	1
42	réduit	1
42	nombre	1
42	huit	1
43	isolé	1
43	table	2
43	Sols et revêtements	1
44	clinique	1
45	Désinfection	1
46	Désinfection	1
46	plus	1
47	bien	1
47	Étudiants	1
47	Médecine	1
47	long	1
48	Écoles de médecine	1
48	directeurs	1
48	bien	1
48	Normes de référence	1
48	Agrément	1
48	combinaison	1
49	Culture	1
49	Programme d'études	1
49	caché	1
49	bien	2
49	Étudiants	1
49	Prévalence	1
49	Épuisement professionnel	1
50	Promotion de la santé	1
50	plus	1
51	souvent	1
51	étudiant	1
51	environnement	1
51	Apprentissage	1
52	Programmes	1
52	entre	1
