sent_ID	concept	count_preds	count_refs	true_positives	false_positives	false_negatives	remark
0	après	1	1	1	0	0	RECOVERED
0	antérieur	1	0	0	1	0	EXTRANEOUS
1	Probabilité	1	0	0	1	0	EXTRANEOUS
1	Récidive	1	0	0	1	0	EXTRANEOUS
2	Consensus	1	1	1	0	0	RECOVERED
3	Revue systématique	1	0	0	1	0	EXTRANEOUS
3	Méta-analyse	1	1	1	0	0	RECOVERED
4	Medline	1	1	1	0	0	RECOVERED
6	nombre	1	1	1	0	0	RECOVERED
6	le temps	1	0	0	1	0	EXTRANEOUS
6	Post-cure	1	1	1	0	0	RECOVERED
7	inclus	1	0	0	1	0	EXTRANEOUS
7	Directives	1	1	1	0	0	RECOVERED
7	centre	1	1	1	0	0	RECOVERED
7	Méta-analyse	1	1	1	0	0	RECOVERED
7	Intervalles de confiance	1	1	1	0	0	RECOVERED
8	au total	1	0	0	1	0	EXTRANEOUS
8	inclus	1	0	0	1	0	EXTRANEOUS
9	onze	1	0	0	1	0	EXTRANEOUS
10	Récidive	1	0	0	1	0	EXTRANEOUS
10	Curiethérapie	1	1	1	0	0	RECOVERED
10	compression	1	1	1	0	0	RECOVERED
10	Rayonnement	1	0	0	1	0	EXTRANEOUS
10	externe	1	1	1	0	0	RECOVERED
10	adjuvant	1	0	0	1	0	EXTRANEOUS
10	Injections	1	1	1	0	0	RECOVERED
10	stéroïdes	1	1	1	0	0	RECOVERED
11	aucune	1	1	1	0	0	RECOVERED
13	Curiethérapie	1	1	1	0	0	RECOVERED
13	Récidive	1	0	0	1	0	EXTRANEOUS
13	plus	1	1	1	0	0	RECOVERED
13	bas	1	0	0	1	0	EXTRANEOUS
14	Intervalles de confiance	1	1	1	0	0	RECOVERED
14	Curiethérapie	1	1	1	0	0	RECOVERED
14	thérapie	1	1	1	0	0	RECOVERED
14	compression	1	1	1	0	0	RECOVERED
14	Chirurgiens	1	1	1	0	0	RECOVERED
14	plus	1	0	0	1	0	EXTRANEOUS
14	Lune	1	0	0	1	0	EXTRANEOUS
14	Patients	1	1	1	0	0	RECOVERED
16	Objectifs	1	0	0	1	0	EXTRANEOUS
17	Boissons alcooliques	1	0	0	1	0	EXTRANEOUS
17	Restaurants	1	0	0	1	0	EXTRANEOUS
17	Savoir	1	0	0	1	0	EXTRANEOUS
17	Ordonnances	1	0	0	1	0	EXTRANEOUS
17	Boissons	1	0	0	1	0	EXTRANEOUS
18	Étudiants	1	1	1	0	0	RECOVERED
18	Ontario	1	1	1	0	0	RECOVERED
18	Canada	1	1	1	0	0	RECOVERED
19	Méthodes	1	0	0	1	0	EXTRANEOUS
20	entre	1	0	0	1	0	EXTRANEOUS
20	Groupes de population	1	0	0	1	0	EXTRANEOUS
21	V03AB29 - cholinestérase	1	0	0	1	0	EXTRANEOUS
21	Poids et mesures	1	0	0	1	0	EXTRANEOUS
21	Savoir	1	0	0	1	0	EXTRANEOUS
21	Boissons	1	0	0	1	0	EXTRANEOUS
22	Modèles logistiques	1	0	0	1	0	EXTRANEOUS
22	linéaire	1	0	0	1	0	EXTRANEOUS
22	Organisation et administration	1	0	0	1	0	EXTRANEOUS
22	quatre	1	0	0	1	0	EXTRANEOUS
23	Probabilité	1	0	0	1	0	EXTRANEOUS
23	plus	1	1	1	0	0	RECOVERED
25	Probabilité	1	0	0	1	0	EXTRANEOUS
25	plus	1	0	0	1	0	EXTRANEOUS
25	faible	1	0	0	1	0	EXTRANEOUS
25	Boissons	1	2	1	0	1	RECOVERED
26	aucune	1	0	0	1	0	EXTRANEOUS
26	entre	1	0	0	1	0	EXTRANEOUS
26	Boissons	2	0	0	2	0	EXTRANEOUS
26	nombre	1	0	0	1	0	EXTRANEOUS
27	contenant	1	0	0	1	0	EXTRANEOUS
27	augmenté	1	0	0	1	0	EXTRANEOUS
27	nombre	1	0	0	1	0	EXTRANEOUS
27	Boissons alcooliques	1	1	1	0	0	RECOVERED
30	Infection croisée	1	1	1	0	0	RECOVERED
30	Méticilline	1	1	1	0	0	RECOVERED
31	Dermatologie	1	1	1	0	0	RECOVERED
32	Objectifs	1	1	1	0	0	RECOVERED
33	Décontamination	1	1	1	0	0	RECOVERED
33	surface	1	1	1	0	0	RECOVERED
33	Composés d'ammonium	1	0	0	1	0	EXTRANEOUS
33	après	1	1	1	0	0	RECOVERED
34	nombre	1	1	1	0	0	RECOVERED
34	Coagulase	1	1	1	0	0	RECOVERED
34	positif	1	0	0	1	0	EXTRANEOUS
34	après	2	2	2	0	0	RECOVERED
34	Chiens	1	1	1	0	0	RECOVERED
34	pyodermite	1	1	1	0	0	RECOVERED
34	Désinfection	1	1	1	0	0	RECOVERED
35	Méthodes	1	1	1	0	0	RECOVERED
36	Colorants fluorescents	1	1	1	0	0	RECOVERED
36	surface	1	1	1	0	0	RECOVERED
36	entre	1	1	1	0	0	RECOVERED
38	dix	1	1	1	0	0	RECOVERED
38	après	2	2	2	0	0	RECOVERED
38	Chien	1	1	1	0	0	RECOVERED
38	atteint	1	1	1	0	0	RECOVERED
38	pyodermite	1	1	1	0	0	RECOVERED
38	staphylococcique	1	1	1	0	0	RECOVERED
38	immédiatement	1	1	1	0	0	RECOVERED
38	Désinfection	1	1	1	0	0	RECOVERED
40	au total	1	1	1	0	0	RECOVERED
41	nombre	1	1	1	0	0	RECOVERED
41	plus	1	1	1	0	0	RECOVERED
41	élevé	1	1	1	0	0	RECOVERED
42	réduit	1	1	1	0	0	RECOVERED
42	nombre	1	1	1	0	0	RECOVERED
42	huit	1	1	1	0	0	RECOVERED
43	aucune	1	0	0	1	0	EXTRANEOUS
43	table	2	2	2	0	0	RECOVERED
43	Sols et revêtements	1	1	1	0	0	RECOVERED
44	clinique	1	1	1	0	0	RECOVERED
45	Désinfection	1	1	1	0	0	RECOVERED
45	Vétérinaires	1	0	0	1	0	EXTRANEOUS
46	Désinfection	1	1	1	0	0	RECOVERED
46	plus	1	1	1	0	0	RECOVERED
47	bien	2	1	1	1	0	RECOVERED
47	Étudiants	2	1	1	1	0	RECOVERED
47	Médecine	2	1	1	1	0	RECOVERED
47	problème	1	1	1	0	0	RECOVERED
47	Canada	1	1	1	0	0	RECOVERED
47	long	1	1	1	0	0	RECOVERED
48	Écoles de médecine	1	1	1	0	0	RECOVERED
48	directeurs	1	0	0	1	0	EXTRANEOUS
48	bien	1	1	1	0	0	RECOVERED
48	Normes de référence	1	1	1	0	0	RECOVERED
48	Agrément	1	1	1	0	0	RECOVERED
48	combinaison	1	0	0	1	0	EXTRANEOUS
49	Culture	1	1	1	0	0	RECOVERED
49	Programme d'études	1	1	1	0	0	RECOVERED
49	caché	1	1	1	0	0	RECOVERED
49	bien	2	2	2	0	0	RECOVERED
49	Étudiants	1	1	1	0	0	RECOVERED
49	Prévalence	1	0	0	1	0	EXTRANEOUS
49	professionnel	1	0	0	1	0	EXTRANEOUS
50	Promotion de la santé	1	0	0	1	0	EXTRANEOUS
50	plus	1	2	1	0	1	RECOVERED
51	souvent	1	1	1	0	0	RECOVERED
51	se pencher	1	0	0	1	0	EXTRANEOUS
52	Programmes	1	1	1	0	0	RECOVERED
52	Établissements scolaires	1	0	0	1	0	EXTRANEOUS
53	Promotion de la santé	1	0	0	1	0	EXTRANEOUS
53	médical	1	0	0	1	0	EXTRANEOUS
53	premier	1	1	1	0	0	RECOVERED
53	Canada	1	1	1	0	0	RECOVERED
54	entre	1	0	0	1	0	EXTRANEOUS
54	Médecine	1	1	1	0	0	RECOVERED
55	Objectifs	1	1	1	0	0	RECOVERED
55	Région mammaire	1	0	0	1	0	EXTRANEOUS
55	bien	1	1	1	0	0	RECOVERED
55	Besoins et demandes de services de santé	1	1	1	0	0	RECOVERED
56	Médecins	1	1	1	0	0	RECOVERED
56	bien	1	1	1	0	0	RECOVERED
56	long	1	1	1	0	0	RECOVERED
56	Qualité des soins de santé	1	1	1	0	0	RECOVERED
56	Soins aux patients	1	1	1	0	0	RECOVERED
56	Travail	1	1	1	0	0	RECOVERED
56	Population	1	1	1	0	0	RECOVERED
56	en bonne santé	1	1	1	0	0	RECOVERED
57	Identification (psychologie)	1	1	1	0	0	RECOVERED
57	Culicidae	1	1	1	0	0	RECOVERED
57	Qatar	1	1	1	0	0	RECOVERED
58	infections	1	0	0	1	0	EXTRANEOUS
58	Culicidae	1	1	1	0	0	RECOVERED
58	Santé publique	1	1	1	0	0	RECOVERED
59	simple	1	1	1	0	0	RECOVERED
59	seul	1	0	0	1	0	EXTRANEOUS
59	Maladie	1	1	1	0	0	RECOVERED
59	Risque	1	1	1	0	0	RECOVERED
59	Caractéristiques de l'habitat	1	1	1	0	0	RECOVERED
59	facteurs environnementaux	1	1	1	0	0	RECOVERED
60	Programmes	1	1	1	0	0	RECOVERED
60	bien	1	1	1	0	0	RECOVERED
60	Lutte	1	0	0	1	0	EXTRANEOUS
60	Organisation et administration	1	1	1	0	0	RECOVERED
60	Qatar	1	1	1	0	0	RECOVERED
61	efficace	1	0	0	1	0	EXTRANEOUS
62	trois	1	1	1	0	0	RECOVERED
62	Enquêtes et questionnaires	1	0	0	1	0	EXTRANEOUS
62	entre	1	1	1	0	0	RECOVERED
62	Distribution	1	1	1	0	0	RECOVERED
62	Culicidae	1	1	1	0	0	RECOVERED
62	Santé publique	1	1	1	0	0	RECOVERED
62	Qatar	1	1	1	0	0	RECOVERED
63	Culicidae	2	0	0	2	0	EXTRANEOUS
63	moustique	1	0	0	1	0	EXTRANEOUS
63	Culex	1	1	1	0	0	RECOVERED
63	plus	1	1	1	0	0	RECOVERED
63	Post-cure	1	0	0	1	0	EXTRANEOUS
63	risque de	1	0	0	1	0	EXTRANEOUS
63	virus	1	1	1	0	0	RECOVERED
64	Méthodes	1	0	0	1	0	EXTRANEOUS
64	paludisme	2	2	2	0	0	RECOVERED
64	anopheles stephensi	1	1	1	0	0	RECOVERED
64	risque de	1	1	1	0	0	RECOVERED
65	moustique	1	1	1	0	0	RECOVERED
65	zone	1	0	0	1	0	EXTRANEOUS
65	humide	1	0	0	1	0	EXTRANEOUS
65	Aedes	1	1	1	0	0	RECOVERED
65	risque de	1	0	0	1	0	EXTRANEOUS
65	Virus de la fièvre de la vallée du Rift	1	1	1	0	0	RECOVERED
66	Dengue	1	1	1	0	0	RECOVERED
66	Risque	1	1	1	0	0	RECOVERED
66	minime	1	0	0	1	0	EXTRANEOUS
66	Virus de la dengue	1	0	0	1	0	EXTRANEOUS
66	Fièvre chikungunya	1	1	1	0	0	RECOVERED
66	virus Zika	1	0	0	1	0	EXTRANEOUS
67	culiseta	1	1	1	0	0	RECOVERED
67	Qatar	1	1	1	0	0	RECOVERED
68	Savoir	1	1	1	0	0	RECOVERED
68	Distribution	1	1	1	0	0	RECOVERED
68	Habitudes	1	0	0	1	0	EXTRANEOUS
68	Morsure	1	0	0	1	0	EXTRANEOUS
68	Culicidae	2	2	2	0	0	RECOVERED
68	actuellement	1	0	0	1	0	EXTRANEOUS
68	Qatar	1	1	1	0	0	RECOVERED
68	risque de	1	1	1	0	0	RECOVERED
69	Femmes	1	1	1	0	0	RECOVERED
69	Cardiopathies	1	1	1	0	0	RECOVERED
69	Diagnostic	1	1	1	0	0	RECOVERED
69	prise en charge	1	1	1	0	0	RECOVERED
70	sIL	1	0	0	1	0	EXTRANEOUS
70	Sexe	1	0	0	1	0	EXTRANEOUS
70	Patients hospitalisés	1	0	0	1	0	EXTRANEOUS
71	Patients hospitalisés	1	1	1	0	0	RECOVERED
71	Ischémie myocardique	1	1	1	0	0	RECOVERED
71	Maladies inflammatoires intestinales	1	0	0	1	0	EXTRANEOUS
71	Canada	1	1	1	0	0	RECOVERED
71	Sexe	1	1	1	0	0	RECOVERED
72	Patients	1	2	1	0	1	RECOVERED
72	version	1	1	1	0	0	RECOVERED
72	suivant	1	1	1	0	0	RECOVERED
73	procédures	1	0	0	1	0	EXTRANEOUS
73	Soins	1	1	1	0	0	RECOVERED
73	Poids et mesures	1	1	1	0	0	RECOVERED
74	sondage	1	1	1	0	0	RECOVERED
74	Comportement de choix	1	0	0	1	0	EXTRANEOUS
74	plus	1	1	1	0	0	RECOVERED
74	positif	1	0	0	1	0	EXTRANEOUS
75	Intervalles de confiance	1	1	1	0	0	RECOVERED
75	Femmes	1	1	1	0	0	RECOVERED
75	Démographie	1	1	1	0	0	RECOVERED
75	Hôpitaux privés à but lucratif	1	1	1	0	0	RECOVERED
76	entre	1	0	0	1	0	EXTRANEOUS
76	Mars	1	1	1	0	0	RECOVERED
76	total	1	1	1	0	0	RECOVERED
76	Femmes	1	1	1	0	0	RECOVERED
76	Hommes	1	1	1	0	0	RECOVERED
77	marge	1	1	1	0	0	RECOVERED
77	Femmes	1	1	1	0	0	RECOVERED
78	Probabilité	1	0	0	1	0	EXTRANEOUS
79	Femmes	1	1	1	0	0	RECOVERED
79	plus	1	2	1	0	1	RECOVERED
79	élevé	1	1	1	0	0	RECOVERED
79	Lune	1	0	0	1	0	EXTRANEOUS
80	stratifié	1	1	1	0	0	RECOVERED
80	Patients hospitalisés	1	1	1	0	0	RECOVERED
80	Ischémie myocardique	1	1	1	0	0	RECOVERED
80	Sexe	1	1	1	0	0	RECOVERED
81	Sexe	1	0	0	1	0	EXTRANEOUS
82	Caractères sexuels	1	0	0	1	0	EXTRANEOUS
82	Patients	1	1	1	0	0	RECOVERED
85	Organisation et administration	1	1	1	0	0	RECOVERED
85	Une seule santé	1	0	0	1	0	EXTRANEOUS
86	Vers	1	0	0	1	0	EXTRANEOUS
86	Accomplissement	1	0	0	1	0	EXTRANEOUS
86	Organisation et administration	1	0	0	1	0	EXTRANEOUS
86	Canada	1	0	0	1	0	EXTRANEOUS
87	Méthodes	1	0	0	1	0	EXTRANEOUS
88	Consultants	1	0	0	1	0	EXTRANEOUS
88	Santé	1	0	0	1	0	EXTRANEOUS
88	centre	1	0	0	1	0	EXTRANEOUS
88	Maladies transmissibles	1	0	0	1	0	EXTRANEOUS
88	directeurs	1	0	0	1	0	EXTRANEOUS
88	Vétérinaires	1	0	0	1	0	EXTRANEOUS
88	identifié	1	0	0	1	0	EXTRANEOUS
88	huit	1	0	0	1	0	EXTRANEOUS
88	base	1	0	0	1	0	EXTRANEOUS
88	Organisation et administration	1	0	0	1	0	EXTRANEOUS
90	Organisation et administration	1	3	1	0	2	RECOVERED
90	complet	1	0	0	1	0	EXTRANEOUS
90	plus	1	0	0	1	0	EXTRANEOUS
90	bas	1	0	0	1	0	EXTRANEOUS
90	adoption	1	0	0	1	0	EXTRANEOUS
90	Programmes	1	2	1	0	1	RECOVERED
91	Organisation et administration	3	1	1	2	0	RECOVERED
91	Programmes	2	1	1	1	0	RECOVERED
91	Infection croisée	1	0	0	1	0	EXTRANEOUS
92	Organisation et administration	1	0	0	1	0	EXTRANEOUS
92	Canada	1	0	0	1	0	EXTRANEOUS
92	Programmes	1	0	0	1	0	EXTRANEOUS
92	Une seule santé	1	0	0	1	0	EXTRANEOUS
94	trois	1	0	0	1	0	EXTRANEOUS
94	Programmes	1	0	0	1	0	EXTRANEOUS
94	complet	1	0	0	1	0	EXTRANEOUS
94	Organisation et administration	1	1	1	0	0	RECOVERED
97	prescriptions	1	0	0	1	0	EXTRANEOUS
97	risque de	1	0	0	1	0	EXTRANEOUS
97	surdose	1	0	0	1	0	EXTRANEOUS
98	Habitudes	1	0	0	1	0	EXTRANEOUS
98	prescription	2	0	0	2	0	EXTRANEOUS
98	Analgésiques	1	0	0	1	0	EXTRANEOUS
98	N02A - opioïdes	1	0	0	1	0	EXTRANEOUS
98	après	1	0	0	1	0	EXTRANEOUS
98	Environnement	1	0	0	1	0	EXTRANEOUS
98	Patients	1	0	0	1	0	EXTRANEOUS
99	Méthodes	1	0	0	1	0	EXTRANEOUS
100	identifié	1	0	0	1	0	EXTRANEOUS
100	Patients	1	0	0	1	0	EXTRANEOUS
100	prescription	1	1	1	0	0	RECOVERED
100	N02A - opioïdes	1	1	1	0	0	RECOVERED
100	Hôpitaux pédiatriques	1	0	0	1	0	EXTRANEOUS
100	Soins de santé tertiaires	1	0	0	1	0	EXTRANEOUS
100	entre	1	0	0	1	0	EXTRANEOUS
101	principal	1	0	0	1	0	EXTRANEOUS
101	durée	1	1	1	0	0	RECOVERED
101	prescription	1	0	0	1	0	EXTRANEOUS
101	nombre	1	0	0	1	0	EXTRANEOUS
102	entre	1	0	0	1	0	EXTRANEOUS
102	Patients	1	0	0	1	0	EXTRANEOUS
102	prescription	1	0	0	1	0	EXTRANEOUS
102	plus	1	0	0	1	0	EXTRANEOUS
102	cinq	1	0	0	1	0	EXTRANEOUS
104	Cours	1	0	0	1	0	EXTRANEOUS
104	Période	1	0	0	1	0	EXTRANEOUS
104	Patients	1	0	0	1	0	EXTRANEOUS
104	total	1	0	0	1	0	EXTRANEOUS
104	Ordonnances	1	0	0	1	0	EXTRANEOUS
105	durée	1	0	0	1	0	EXTRANEOUS
105	thérapie	1	0	0	1	0	EXTRANEOUS
105	opioïde	1	0	0	1	0	EXTRANEOUS
106	dix	1	0	0	1	0	EXTRANEOUS
106	sept	1	0	0	1	0	EXTRANEOUS
106	Ordonnances	1	0	0	1	0	EXTRANEOUS
106	durée	1	0	0	1	0	EXTRANEOUS
106	cinq	1	1	1	0	0	RECOVERED
107	plus	2	0	0	2	0	EXTRANEOUS
107	quatre	1	0	0	1	0	EXTRANEOUS
107	prescription	3	0	0	3	0	EXTRANEOUS
107	Hôpitaux privés à but lucratif	1	0	0	1	0	EXTRANEOUS
107	cinq	1	0	0	1	0	EXTRANEOUS
109	N02A - opioïdes	1	1	1	0	0	RECOVERED
109	cinq	1	0	0	1	0	EXTRANEOUS
109	Directives	1	0	0	1	0	EXTRANEOUS
110	Maladie	1	1	1	0	0	RECOVERED
110	coronavirus	1	1	1	0	0	RECOVERED
110	crise	1	1	1	0	0	RECOVERED
110	Santé publique	1	1	1	0	0	RECOVERED
111	Maladies cardiovasculaires	1	1	1	0	0	RECOVERED
111	mCV	2	2	2	0	0	RECOVERED
111	Cause de décès	1	1	1	0	0	RECOVERED
111	Facteurs de risque	1	1	1	0	0	RECOVERED
111	risque de	1	0	0	1	0	EXTRANEOUS
111	Physique	1	1	1	0	0	RECOVERED
111	comportement	1	1	1	0	0	RECOVERED
111	Sédentaire	1	1	1	0	0	RECOVERED
111	obésité	1	1	1	0	0	RECOVERED
112	propagation	1	1	1	0	0	RECOVERED
112	coronavirus	1	1	1	0	0	RECOVERED
112	nombre	1	1	1	0	0	RECOVERED
113	Santé publique	1	1	1	0	0	RECOVERED
113	Habitudes	1	1	1	0	0	RECOVERED
113	Mouvement	1	0	0	1	0	EXTRANEOUS
114	principal	1	1	1	0	0	RECOVERED
114	Directives de santé publique	1	1	1	0	0	RECOVERED
114	Caractéristiques de l'habitat	1	1	1	0	0	RECOVERED
114	le temps	1	1	1	0	0	RECOVERED
114	Sédentaire	1	0	0	1	0	EXTRANEOUS
114	Sommeil	1	1	1	0	0	RECOVERED
114	Physique	1	1	1	0	0	RECOVERED
114	mCV	1	1	1	0	0	RECOVERED
115	mCV	1	1	1	0	0	RECOVERED
115	Directives de santé publique	1	1	1	0	0	RECOVERED
115	le temps	1	1	1	0	0	RECOVERED
115	Sédentaire	1	0	0	1	0	EXTRANEOUS
115	Habitudes	1	1	1	0	0	RECOVERED
115	Sommeil	1	1	1	0	0	RECOVERED
115	Santé publique	1	0	0	1	0	EXTRANEOUS
116	Directives de santé publique	1	1	1	0	0	RECOVERED
116	Temps	1	1	1	0	0	RECOVERED
117	Communication	1	1	1	0	0	RECOVERED
117	le temps	1	1	1	0	0	RECOVERED
117	Sédentaire	1	0	0	1	0	EXTRANEOUS
117	prolongé	1	0	0	1	0	EXTRANEOUS
117	activité	1	1	1	0	0	RECOVERED
117	Physique	1	1	1	0	0	RECOVERED
117	Sommeil	1	1	1	0	0	RECOVERED
117	associé à	1	0	0	1	0	EXTRANEOUS
117	mCV	1	1	1	0	0	RECOVERED
118	Fer	1	1	1	0	0	RECOVERED
118	intraveineux	1	0	0	1	0	EXTRANEOUS
118	Normes de référence	1	0	0	1	0	EXTRANEOUS
118	Patients	2	1	1	1	0	RECOVERED
118	Préparations pharmaceutiques	1	0	0	1	0	EXTRANEOUS
118	Programmes	1	0	0	1	0	EXTRANEOUS
119	Fer	1	1	1	0	0	RECOVERED
119	réduit	1	0	0	1	0	EXTRANEOUS
120	Coûts et analyse des coûts	1	0	0	1	0	EXTRANEOUS
120	Fer	1	0	0	1	0	EXTRANEOUS
120	Santé publique	1	0	0	1	0	EXTRANEOUS
120	Canada	1	0	0	1	0	EXTRANEOUS
121	principal	1	1	1	0	0	RECOVERED
121	Fer	2	0	0	2	0	EXTRANEOUS
121	Programmes	1	0	0	1	0	EXTRANEOUS
121	actuellement	1	0	0	1	0	EXTRANEOUS
121	faible	1	1	1	0	0	RECOVERED
122	deuxième	1	0	0	1	0	EXTRANEOUS
122	Fer	1	0	0	1	0	EXTRANEOUS
123	Fer	1	0	0	1	0	EXTRANEOUS
123	Programmes	1	0	0	1	0	EXTRANEOUS
123	régional	1	1	1	0	0	RECOVERED
123	Préparations pharmaceutiques	1	1	1	0	0	RECOVERED
124	Amélioration de la qualité	1	1	1	0	0	RECOVERED
124	Anémie	1	1	1	0	0	RECOVERED
124	Préparations pharmaceutiques	1	1	1	0	0	RECOVERED
125	quatre	1	1	1	0	0	RECOVERED
125	neuf	1	1	1	0	0	RECOVERED
125	Programmes	1	0	0	1	0	EXTRANEOUS
125	Alberta	1	1	1	0	0	RECOVERED
125	Période	1	0	0	1	0	EXTRANEOUS
126	au total	1	0	0	1	0	EXTRANEOUS
126	Patients	1	0	0	1	0	EXTRANEOUS
127	Fer	1	0	0	1	0	EXTRANEOUS
127	vérification de routine	1	0	0	1	0	EXTRANEOUS
127	Dossiers médicaux électroniques	1	1	1	0	0	RECOVERED
128	Récompenses et prix	1	1	1	0	0	RECOVERED
128	Préparations pharmaceutiques	1	1	1	0	0	RECOVERED
129	Fer	1	0	0	1	0	EXTRANEOUS
130	Fer	2	0	0	2	0	EXTRANEOUS
131	entre	1	1	1	0	0	RECOVERED
131	Fer	1	0	0	1	0	EXTRANEOUS
131	Coûts et analyse des coûts	1	0	0	1	0	EXTRANEOUS
132	Préparations pharmaceutiques	1	1	1	0	0	RECOVERED
133	Sensibilité et spécificité	1	1	1	0	0	RECOVERED
133	Saccharose	1	0	0	1	0	EXTRANEOUS
133	Environnement	1	0	0	1	0	EXTRANEOUS
