sent_ID	fr_term	counts	matches_strict	matches_caseless	matches_loose
0	traitement	1	1	1	1
0	chéloïdes	1	1	1	1
0	récalcitrantes	1	0	0	0
0	auriculaires	1	1	1	1
1	récurrence	1	0	0	0
1	risque	1	0	0	0
3	auriculaires	1	1	1	1
3	chéloïdes	1	1	1	1
3	méta-analyse	1	1	1	1
3	récalcitrantes	1	0	0	0
4	EBM	1	1	1	1
4	MEDLINE	1	1	1	1
4	EMBASE	1	1	1	1
4	mots-clés	1	1	1	1
4	CINAHL	1	1	1	1
6	chéloïdes	1	1	1	1
6	récalcitrantes	1	0	0	0
6	modalité	1	1	1	1
6	récurrence	1	1	1	1
7	traitement	1	1	1	1
7	Oxford	1	1	1	1
7	méta-analyse	1	1	1	1
7	récurrence	1	0	0	0
7	stratifié	1	0	0	0
7	taux	1	1	1	1
7	QdP	1	0	0	0
7	qualité	1	0	0	0
7	intervalles	1	1	1	1
7	modalité	1	1	1	1
10	récurrence	1	0	0	0
10	adjuvantes	1	0	0	0
10	taux	1	1	1	1
10	radiothérapie	1	0	0	0
10	compression	1	1	1	1
10	curiethérapie	1	1	1	1
10	excision	4	4	4	4
10	injections	1	0	0	0
10	stéroïdes	1	1	1	1
10	adjuvante	3	3	3	3
11	significative	1	1	1	1
12	hétérogènes	1	1	1	1
12	auriculaires	1	1	1	1
12	chéloïdes	1	1	1	1
12	traitement	1	1	1	1
13	récurrence	1	0	0	0
13	adjuvante	1	1	1	1
13	curiethérapie	1	1	1	1
13	taux	1	1	1	1
13	excision	1	1	1	1
14	intervalles	1	1	1	1
14	curiethérapie	1	1	1	1
14	modalités	1	1	1	1
14	thérapie	1	1	1	1
14	chirurgiens	1	1	1	1
14	faibles	1	0	0	0
14	patients	1	1	1	1
14	compression	1	1	1	1
14	confiance	1	1	1	1
18	Ontario	1	1	1	1
18	Canada	1	1	1	1
21	multinomiale	1	0	0	0
21	modèles	1	0	0	0
23	RC	1	0	0	0
23	probabilités	1	0	0	0
25	calories	1	1	1	1
30	infections	1	0	0	0
30	nosocomiales	1	1	1	1
30	méticilline	1	0	0	0
30	résistants	1	0	0	0
31	dermatologie	1	1	1	1
31	staphylococcique	1	1	1	1
31	réservoir	1	1	1	1
31	examen	1	1	1	1
31	pyodermite	1	1	1	1
32	HYPOTHÈSE	1	0	0	0
33	composé	1	1	1	1
33	protocoles	1	1	1	1
33	décontamination	1	1	1	1
33	ammonium	1	1	1	1
33	quaternaire	1	1	1	1
34	coagulase	1	1	1	1
34	désinfection	1	1	1	1
34	colonies	1	1	1	1
34	pyodermite	1	1	1	1
34	staphylocoques	1	0	0	0
34	positive	1	1	1	1
36	Glo	1	1	1	1
36	Germ	1	1	1	1
36	Virex	1	1	1	1
36	fluorescent	1	1	1	1
36	protocoles	1	1	1	1
37	quantifiées	1	1	1	1
37	colonies	1	1	1	1
37	Express	1	1	1	1
37	CoPS	1	1	1	1
37	Staph	1	1	1	1
37	M	1	1	1	1
38	staphylococcique	1	1	1	1
38	pyodermite	1	1	1	1
38	protocole	1	1	1	1
38	désinfection	1	1	1	1
40	protocoles	1	1	1	1
41	P	1	1	1	1
41	protocole	1	1	1	1
42	protocole	1	1	1	1
42	P	2	2	2	2
42	colonies	1	1	1	1
42	nombre	1	1	1	1
43	CoPS	1	1	1	1
43	isolé	1	1	1	1
43	examen	1	1	1	1
45	protocoles	1	1	1	1
45	contamination	1	1	1	1
45	désinfection	1	1	1	1
45	staphylocoques	1	1	1	1
45	vétérinaire	1	1	1	1
45	examen	2	2	2	2
46	désinfection	1	1	1	1
47	Canada	1	0	0	0
47	bien-être	1	1	1	1
48	bien-être	1	1	1	1
48	agrément	1	0	0	0
49	bien-être	2	2	2	2
49	épuisement	1	1	1	1
50	bien-être	1	1	1	1
51	didactiques	1	1	1	1
53	résidence	1	1	1	1
54	résidence	1	1	1	1
55	bien-être	1	1	1	1
56	patients	1	1	1	1
56	canadienne	1	1	1	1
56	bien-être	1	1	1	1
56	population	1	1	1	1
57	caractérisation	1	1	1	1
57	Qatar	1	1	1	1
58	maladies	1	0	0	0
59	risque	1	1	1	1
59	associé	1	0	0	0
59	communauté	1	1	1	1
59	maladie	1	1	1	1
59	vecteur	1	1	1	1
59	cas	1	1	1	1
59	facteurs	1	1	1	1
60	MTV	1	0	0	0
60	probabilité	1	1	1	1
60	surveillance	1	1	1	1
60	Qatar	1	1	1	1
61	MTV	1	0	0	0
62	Qatar	1	1	1	1
62	distribution	1	1	1	1
63	piégeages	1	0	0	0
63	Nile	1	1	1	1
63	risque	1	1	1	1
63	transmission	1	1	1	1
63	abondante	1	1	1	1
63	virus	1	1	1	1
63	Culex	1	1	1	1
64	stephensi	1	1	1	1
64	Anopheles	1	1	1	1
64	risque	1	1	1	1
64	paludisme	2	2	2	2
64	transmission	1	1	1	1
65	transmission	1	1	1	1
65	Rift	1	1	1	1
65	virus	1	1	1	1
65	Aedes	1	1	1	1
65	risque	1	1	1	1
65	caspius	1	1	1	1
66	abondant	1	1	1	1
66	dengue	2	2	2	2
66	vecteur	1	1	1	1
66	Zika	1	1	1	1
66	virus	1	1	1	1
66	risque	1	1	1	1
66	aegypti	1	1	1	1
66	transmission	1	1	1	1
67	Qatar	1	1	1	1
68	risque	1	1	1	1
68	Qatar	1	1	1	1
68	écologie	1	1	1	1
68	maladies	1	1	1	1
68	distribution	1	1	1	1
69	maladie	1	1	1	1
69	diagnostic	1	1	1	1
69	maladies	1	0	0	0
69	traitement	1	1	1	1
70	patients	1	1	1	1
71	Canada	1	1	1	1
71	hospitalisés	1	1	1	1
71	ischémique	1	1	1	1
71	cardiopathie	1	1	1	1
71	patients	1	1	1	1
71	Alberta	1	1	1	1
72	congé	1	1	1	1
72	patients	2	2	2	2
73	échelles	1	1	1	1
74	positive	1	0	0	0
75	confiance	1	1	1	1
75	démographiques	1	1	1	1
75	cliniques	1	1	1	1
75	facteurs	1	1	1	1
75	intervalles	1	1	1	1
77	sondage	1	0	0	0
78	ajustés	1	0	0	0
80	patients	1	1	1	1
80	cardiopathie	1	1	1	1
80	stratifié	1	1	1	1
80	ischémique	1	1	1	1
80	hospitalisés	1	1	1	1
82	patients	1	1	1	1
82	associés	1	1	1	1
85	UAM	1	0	0	0
85	surveillance	1	1	1	1
90	RAM	2	0	0	0
90	surveillance	3	1	1	1
91	surveillance	1	1	1	1
91	UAM	1	0	0	0
94	surveillance	1	1	1	1
94	provincial	1	0	0	0
94	territorial	1	0	0	0
97	prescription	2	1	1	1
97	prescripteurs	1	0	0	0
97	patients	1	0	0	0
97	opioïdes	2	2	2	2
100	prescription	1	0	0	0
101	opioïdes	1	1	1	1
101	admissions	1	0	0	0
101	prescripteurs	1	0	0	0
104	prescription	1	0	0	0
104	opioïdes	1	1	1	1
105	opioïdes	1	1	1	1
106	prescription	2	0	0	0
106	opioïdes	1	1	1	1
108	congé	1	0	0	0
109	opioïdes	1	1	1	1
109	congé	1	1	1	1
109	prescrits	1	1	1	1
110	coronavirus	1	1	1	1
110	maladie	1	1	1	1
110	préexistantes	1	1	1	1
110	pathologies	1	0	0	0
111	risque	1	1	1	1
111	obésité	1	1	1	1
111	maladies	1	0	0	0
111	comportement	1	1	1	1
111	cardiovasculaires	1	0	0	0
111	facteurs	1	1	1	1
112	coronavirus	1	1	1	1
113	négatives	1	1	1	1
114	MCV	1	1	1	1
115	MCV	1	1	1	1
115	restrictions	1	1	1	1
116	autosurveillance	2	2	2	2
116	faible	1	0	0	0
117	MCV	1	1	1	1
117	pandémie	1	1	1	1
117	préconisation	1	0	0	0
118	anémie	1	1	1	1
118	fer	1	1	1	1
118	patients	2	2	2	2
118	hémodialyse	2	2	2	2
118	intraveineuse	1	1	1	1
118	érythropoïétine	1	1	1	1
118	traitement	1	0	0	0
119	élevée	1	0	0	0
119	cardiovasculaires	1	1	1	1
119	fer	1	1	1	1
119	dose	1	1	1	1
119	protocole	1	1	1	1
120	canadien	1	0	0	0
120	protocole	1	1	1	1
121	protocole	1	1	1	1
121	hémodialyse	1	1	1	1
121	canadien	1	1	1	1
121	dose	2	2	2	2
121	fer	2	2	2	2
121	faible	1	1	1	1
122	fer	1	1	1	1
122	dose	1	1	1	1
122	protocole	1	1	1	1
122	élevée	1	0	0	0
122	réduction	1	1	1	1
123	fer	1	1	1	1
123	effets	1	1	1	1
123	hémodialyse	1	1	1	1
124	anémie	1	1	1	1
125	Alberta	1	1	1	1
125	hémodialyse	2	2	2	2
125	unités	1	1	1	1
126	patients	1	1	1	1
127	fer	1	1	1	1
129	agrégées	1	0	0	0
129	érythropoïétine	1	1	1	1
129	IV	1	1	1	1
129	posologies	1	0	0	0
129	hémodialyse	1	1	1	1
129	fer	1	1	1	1
130	élevée	1	0	0	0
130	réduction	1	1	1	1
130	PIVOTAL	1	1	1	1
130	dose	3	3	3	3
130	essai	1	1	1	1
130	protocole	1	1	1	1
130	IV	2	2	2	2
130	fer	2	2	2	2
131	fer	1	1	1	1
131	ASE	1	1	1	1
131	modèle	1	1	1	1
132	hémodialyse	1	1	1	1
132	agrégés	1	1	1	1
133	unités	1	1	1	1
133	fer	1	1	1	1
133	saccharose	1	1	1	1
133	sensibilité	1	1	1	1
133	hémodialyse	1	1	1	1
133	modèles	2	2	2	2
134	réduction	1	1	1	1
135	mg	3	2	2	2
135	fer	1	1	1	1
135	HD	1	0	0	0
135	unités	1	1	1	1
135	pt	1	0	0	0
135	UI	2	2	2	2
136	fer	1	1	1	1
137	PIVOTAL	1	1	1	1
137	UI	2	2	2	2
137	élevée	1	0	0	0
137	pt	4	0	0	0
137	mg	2	2	2	2
137	dose	1	1	1	1
137	fer	2	2	2	2
137	réduction	1	1	1	1
137	essai	1	1	1	1
137	moyenne	2	2	2	2
138	sensibilité	1	1	1	1
139	élevée	1	0	0	0
139	réduction	1	1	1	1
139	protocole	1	1	1	1
139	ASE	1	1	1	1
139	fer	1	1	1	1
139	dose	2	2	2	2
140	essai	1	1	1	1
141	hospitalisations	1	1	1	1
141	élevée	1	0	0	0
141	fer	1	1	1	1
141	transfusions	1	1	1	1
141	protocole	1	1	1	1
141	dose	1	1	1	1
141	modèles	1	1	1	1
142	modélisation	1	1	1	1
142	dose	1	1	1	1
142	élevée	1	0	0	0
142	fer	1	1	1	1
142	canadien	1	0	0	0
142	protocole	1	1	1	1
142	hémodialyse	1	1	1	1
143	protocole	2	2	2	2
143	essai	1	1	1	1
143	fer	1	1	1	1
143	EPO	1	1	1	1
143	appliqué	1	1	1	1
143	programs	1	0	0	0
144	COVID-19	1	1	1	1
144	examen	1	1	1	1
144	examinateurs	1	1	1	1
144	Pakistan	1	1	1	1
145	CER	1	1	1	1
145	COVID-19	1	1	1	1
145	pandémie	1	1	1	1
