204	woman	femme	242.75	64.61617989144482	-1.327719292533583
47	substantial	grand	198.25	64.61617989144482	-1.1261456624728396
206	right	bonne	578.93	193.84853967433446	-1.0958475191014805
137	year	année	186.61	64.61617989144482	-1.0659537985539345
140	single	seul	349.74	129.23235978288963	-0.9984616962787545
47	problem	problème	128.87	64.61617989144482	-0.6981461050907747
284	small	petite	355.66	193.84853967433446	-0.6097338537265828
425	small	petits	112.92	64.61617989144482	-0.5671193825661539
490	poor	mauvaise	88.33	64.61617989144482	-0.3239844737801021
393	only	seule	349.74	258.46471956577926	-0.30531451571880913
281	single	seule	349.74	258.46471956577926	-0.30531451571880913
249	books	livres	85.69	64.61617989144482	-0.29398904164262574
494	new	nouvelles	82.08	64.61617989144482	-0.2514595155330195
490	death	mort	78.09	64.61617989144482	-0.20224803262973784
306	hand	main	212.97	193.84853967433446	-0.09880542189848017
297	hand	main	212.97	193.84853967433446	-0.09880542189848017
298	hand	main	212.97	193.84853967433446	-0.09880542189848017
434	history	histoire	64.6	64.61617989144482	-0.015263281212915612
523	small	petites	64.5	64.61617989144482	-0.013737960599914594
244	child	enfant	448.33	516.9294391315585	0.14012654433437585
480	Families	enfant	448.33	516.9294391315585	0.14012654433437585
386	Keywords	Mots	104.72	129.23235978288963	0.20072334795938065
502	Keywords	Mots	104.72	129.23235978288963	0.20072334795938065
38	dog	chien	50.76	64.61617989144482	0.22165401123006054
400	good	belles	49.35	64.61617989144482	0.24926763296772408
302	minutes	minutes	197.45	258.46471956577926	0.2641716347776657
236	minutes	minutes	197.45	258.46471956577926	0.2641716347776657
238	minutes	minutes	197.45	258.46471956577926	0.2641716347776657
302	minutes	minutes	197.45	258.46471956577926	0.2641716347776657
495	males	hommes	342.44	452.3132592401137	0.2753334505392932
406	males	hommes	342.44	452.3132592401137	0.2753334505392932
406	males	hommes	342.44	452.3132592401137	0.2753334505392932
372	males	hommes	342.44	452.3132592401137	0.2753334505392932
76	men	hommes	342.44	452.3132592401137	0.2753334505392932
501	Reasons	raisons	43.67	64.61617989144482	0.36893886794287056
285	Animal	Animaux	43.62	64.61617989144482	0.37005856350269206
250	girls	filles	213.97	323.08089945722406	0.4073577540330534
354	females	filles	213.97	323.08089945722406	0.4073577540330534
358	females	filles	213.97	323.08089945722406	0.4073577540330534
432	girls	filles	213.97	323.08089945722406	0.4073577540330534
289	ears	oreilles	39.08	64.61617989144482	0.4773379154894549
245	years	ans	718.17	1163.0912380460068	0.4807249259456002
495	years	ans	718.17	1163.0912380460068	0.4807249259456002
177	years	ans	718.17	1163.0912380460068	0.4807249259456002
329	years	ans	718.17	1163.0912380460068	0.4807249259456002
357	years	ans	718.17	1163.0912380460068	0.4807249259456002
243	years	ans	718.17	1163.0912380460068	0.4807249259456002
392	years	ans	718.17	1163.0912380460068	0.4807249259456002
371	years	ans	718.17	1163.0912380460068	0.4807249259456002
298	year	ans	718.17	1163.0912380460068	0.4807249259456002
354	years	ans	718.17	1163.0912380460068	0.4807249259456002
204	years	ans	718.17	1163.0912380460068	0.4807249259456002
75	question	question	118.19	193.84853967433446	0.48627437618073077
74	question	question	118.19	193.84853967433446	0.48627437618073077
505	question	question	118.19	193.84853967433446	0.48627437618073077
404	first	premier	197.34	323.08089945722406	0.48786960761763165
407	first	premier	197.34	323.08089945722406	0.48786960761763165
406	first	premier	197.34	323.08089945722406	0.48786960761763165
348	supplies	mètres	37.46	64.61617989144482	0.5185861253796668
485	significant	meilleure	73.69	129.23235978288963	0.5481319305650442
438	right	droit	36.33	64.61617989144482	0.548399704030294
116	week	semaine	104.84	193.84853967433446	0.605054133231106
251	children	enfants	448.33	840.0103385887826	0.6256343601160765
492	children	enfants	448.33	840.0103385887826	0.6256343601160765
250	Children	enfants	448.33	840.0103385887826	0.6256343601160765
252	children	enfants	448.33	840.0103385887826	0.6256343601160765
251	children	enfants	448.33	840.0103385887826	0.6256343601160765
255	children	enfants	448.33	840.0103385887826	0.6256343601160765
243	children	enfants	448.33	840.0103385887826	0.6256343601160765
245	children	enfants	448.33	840.0103385887826	0.6256343601160765
249	children	enfants	448.33	840.0103385887826	0.6256343601160765
193	human	humaine	32.37	64.61617989144482	0.6605079239101816
479	day	jour	426.7	840.0103385887826	0.6749688037714281
480	day	jour	426.7	840.0103385887826	0.6749688037714281
282	Day	jour	426.7	840.0103385887826	0.6749688037714281
184	day	jour	426.7	840.0103385887826	0.6749688037714281
552	issues	problèmes	128.87	258.46471956577926	0.6881482560291159
421	issues	problèmes	128.87	258.46471956577926	0.6881482560291159
506	issues	problèmes	128.87	258.46471956577926	0.6881482560291159
199	points	moments	30.34	64.61617989144482	0.7232505750649407
282	medication	médicament	29.8	64.61617989144482	0.7406255295352939
73	questions	questions	118.19	258.46471956577926	0.7739564486325117
79	questions	questions	118.19	258.46471956577926	0.7739564486325117
77	questions	questions	118.19	258.46471956577926	0.7739564486325117
