sent_ID	concept	count
0	nouveau	1
0	après	1
1	risque de	1
1	plus	1
1	élevé	1
2	Consensus	1
3	Personnel de recherche	1
3	Classification	1
3	Méta-analyse	1
4	Personnel de recherche	1
4	Medline	1
4	Vedettes-matière	1
4	Précis	1
5	admissibilité	1
6	nombre	1
6	Thérapeutique	1
6	durée	1
6	Post-cure	1
7	stratifié	1
7	après	2
7	Directives	1
7	centre	1
7	Méta-analyse	1
7	Intervalles de confiance	1
7	Thérapeutique	1
8	Personnel de recherche	1
9	nombre	1
10	après	4
10	excision	4
10	Curiethérapie	1
10	thérapie	1
10	compression	1
10	radiothérapie	1
10	externe	1
10	Injections	1
10	stéroïdes	1
11	aucune	1
13	excision	1
13	Curiethérapie	1
13	plus	1
13	faible	1
14	Intervalles de confiance	1
14	Curiethérapie	1
14	thérapie	1
14	compression	1
14	Chirurgiens	1
14	Patients	1
15	Objectifs	1
16	effet	1
16	Boissons alcooliques	1
16	connaissance	1
16	Boissons	1
18	Étudiants	1
18	alcool	1
18	Ontario	1
18	Canada	1
19	Groupes de population	1
19	premier	1
19	groupe	3
20	Probabilité	1
20	connaissance	1
20	Comportement de choix	1
20	Boissons	1
21	Modèles linéaires	1
21	Organisation et administration	2
23	plus	1
23	groupe	2
24	groupe	2
24	nombre	1
24	Boissons	1
25	aucune	1
25	entre les deux	1
25	Groupes de population	1
25	nombre	2
25	Boissons	2
27	Boissons alcooliques	1
28	Incidence	1
28	Boissons alcooliques	1
30	Infection croisée	1
30	Méticilline	1
31	Dermatologie	1
31	pyodermite	1
31	staphylococcique	1
32	Objectifs	1
33	premièrement	1
33	Rendement	1
33	Décontamination	1
33	surface	1
33	composé d'ammonium	1
33	après	1
34	deuxièmement	1
34	nombre	1
34	Coagulase	1
34	après	2
34	Chiens	1
34	pyodermite	1
34	Désinfection	1
35	Méthodes	1
36	Numismatique	1
36	Colorants fluorescents	1
36	Rendement	1
36	surface	1
36	entre	1
36	base	1
38	dix	1
38	Numismatique	1
38	après	2
38	Chien	1
38	atteint	1
38	pyodermite	1
38	staphylococcique	1
38	immédiatement	1
38	Désinfection	1
40	au total	1
41	nombre	1
41	plus	1
41	élevé	1
42	réduit	1
42	nombre	1
42	huit	1
43	isolé	1
43	table	2
43	Sols et revêtements	1
44	clinique	1
45	Désinfection	1
46	Désinfection	1
